iter	Passed	Remaining
403	8835	13034
404	8856	13011
405	8878	12989
406	8900	12967
407	8921	12945
408	8943	12923
409	8965	12901
410	8986	12877
411	9008	12856
412	9029	12834
413	9051	12811
414	9072	12789
415	9094	12767
416	9117	12746
417	9140	12726
418	9162	12704
419	9183	12682
420	9204	12659
421	9226	12636
422	9247	12613
423	9268	12591
424	9290	12569
425	9312	12547
426	9334	12525
427	9355	12502
428	9377	12481
429	9398	12458
430	9419	12435
431	9440	12412
432	9462	12390
433	9483	12367
434	9505	12345
435	9526	12323
436	9548	12301
437	9568	12277
438	9590	12255
439	9611	12233
440	9633	12210
441	9655	12189
442	9677	12167
443	9697	12143
444	9718	12121
445	9740	12098
446	9761	12076
447	9782	12053
448	9803	12030
449	9825	12008
450	9845	11984
451	9866	11962
452	9887	11938
453	9908	11916
454	9931	11895
455	9953	11874
456	9974	11852
457	9997	11831
458	10021	11811
459	10044	11791
460	10068	11771
461	10091	11751
462	10115	11731
463	10140	11713
464	10164	11694
465	10188	11675
466	10212	11655
467	10237	11637
468	10261	11618
469	10286	11599
470	10310	11580
471	10336	11562
472	10362	11545
473	10387	11526
474	10412	11508
475	10437	11489
476	10463	11472
477	10489	11454
478	10514	11435
479	10539	11418
480	10565	11400
481	10591	11382
482	10617	11365
483	10644	11348
484	10671	11331
485	10698	11314
486	10725	11297
487	10751	11279
488	10775	11260
489	10801	11242
490	10828	11225
491	10854	11207
492	10880	11189
493	10906	11171
494	10932	11153
495	10959	11136
496	10986	11119
497	11011	11100
498	11038	11082
499	11064	11064
500	11090	11045
501	11116	11028
502	11142	11009
503	11167	10989
504	11192	10970
505	11218	10952
506	11244	10933
507	11271	10916
508	11299	10899
509	11325	10881
510	11352	10863
511	11378	10845
512	11405	10827
513	11432	10810
514	11459	10791
515	11486	10774
516	11512	10755
517	11539	10737
518	11566	10719
519	11592	10700
520	11617	10681
521	11644	10662
522	11670	10643
523	11696	10625
524	11723	10606
525	11750	10588
526	11776	10569
527	11805	10552
528	11833	10535
529	11860	10517
530	11889	10501
531	11916	10482
532	11943	10464
533	11969	10445
534	11996	10426
535	12021	10407
536	12048	10387
537	12074	10368
538	12099	10348
539	12124	10328
540	12150	10308
541	12176	10289
542	12203	10270
543	12229	10251
544	12255	10232
545	12283	10213
546	12310	10194
547	12337	10175
548	12363	10156
549	12390	10137
550	12416	10117
551	12441	10097
552	12467	10077
553	12494	10058
554	12521	10039
555	12547	10020
556	12574	10000
557	12599	9980
558	12626	9961
559	12652	9941
560	12678	9921
561	12704	9901
562	12731	9882
563	12757	9862
564	12783	9842
565	12808	9821
566	12835	9802
567	12861	9782
568	12889	9763
569	12915	9743
570	12942	9724
571	12968	9703
572	12995	9684
573	13021	9663
574	13047	9643
575	13072	9622
576	13098	9602
577	13123	9581
578	13148	9560
579	13174	9540
580	13202	9521
581	13228	9500
582	13254	9480
583	13282	9461
584	13308	9440
585	13335	9421
586	13362	9401
587	13389	9382
588	13415	9361
589	13441	9340
590	13467	9320
591	13494	9300
592	13520	9279
593	13547	9259
594	13574	9239
595	13600	9219
596	13627	9198
597	13653	9178
598	13678	9157
599	13704	9136
600	13730	9115
601	13755	9094
